body_posture,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,right_torso_angle,left_torso_angle,right_hip_angle,left_hip_angle,right_knee_angle,left_knee_angle,elbow_mid_x,elbow_mid_y,wrist_mid_x,wrist_mid_y,elbow_distance,wrist_distance
open-2,64.32899818649437,76.75254353187005,93.37443727942353,109.46224013698105,19.64316817702142,14.906042326077978,177.56252725800843,173.13440667024145,179.74398009395242,178.55764567542516,319.09119606018066,316.71574115753174,242.23469734191895,242.23469734191895,194.66145273318796,169.0281421691244
open-2,56.495083771806975,77.17795876043188,99.8419880611838,104.0772787485265,20.24099252806438,14.613579168561758,179.77492860795488,175.6186023977426,172.0688960060753,179.10998696329642,312.1195602416992,307.1448612213135,249.7194480895996,249.7194480895996,174.25713016313594,159.3336961990617
open-2,57.95765438147437,82.04786246391448,105.0930970470776,107.40794307321782,25.405519862557334,21.54014446322151,173.07110547039596,168.80475361233576,177.91845142453352,178.30814991025747,312.920618057251,228.06859731674194,257.4039649963379,257.4039649963379,157.38341797280972,139.94374498313425
open-2,68.99021075483476,106.14702108156688,97.43759480621397,103.54088819856531,19.038400983113203,14.044432156479221,173.98172394586834,170.81922069490966,171.07299883879466,177.5950984557004,323.99516105651855,206.4901041984558,263.5894298553467,263.5894298553467,112.14633204729954,98.70855809207552
open-2,69.82599970376974,119.39690970762616,96.88541323148955,116.42269487311289,32.12926711726082,12.85150599755127,173.09415733954316,171.42544428603622,169.62200309199397,176.60493018153895,315.5438423156738,201.71330451965332,243.79218101501465,243.79218101501465,124.91255171139231,122.9561558204852
open-2,51.95798291514718,70.52907898530798,101.06804848353148,104.40492168004968,20.378161846027723,17.461092995788498,173.0779046717607,170.88608869955135,170.3141904289205,177.20078316071744,323.38199615478516,204.50100660324097,286.461706161499,286.461706161499,116.17138719998822,83.14853198110637
open-2,84.83769595946694,170.2215066770217,88.0069846818451,107.30511322746509,19.82700291803111,6.0101312755461676,173.6187768739771,171.73442312108557,169.5279545659597,176.91812595420492,320.2661323547363,200.582435131073,279.769926071167,279.769926071167,97.09310750937286,39.69109909988862
open-2,53.53083456776289,111.85158990212054,101.28879870599559,124.13512978909158,40.4002114379253,20.809055440250404,179.4992327809154,170.4756857946508,179.58557735766905,178.50707618089368,276.70143127441406,223.93736600875854,233.84652137756348,233.84652137756348,129.54078131861783,139.8399554668239
open-2,61.453714634468646,118.58292973377682,96.67475117933246,124.91434877195304,37.527169287542485,16.84360436246275,175.40666696029092,169.03417977436033,173.0260441281083,174.48445226040403,254.1364574432373,222.06981897354126,202.94891834259033,202.94891834259033,122.7634828356125,130.44129784360467
open-2,62.512922053262976,110.94851985472549,93.28263104683477,119.5915775751575,29.89647454721106,14.0164616256038,174.59840073253397,163.3011140903427,170.2718964637566,178.0093539402991,253.27404975891113,221.15057229995728,193.71881008148193,193.71881008148193,109.20522562198778,118.93798884570064
open-2,39.275919616100154,109.09487700551804,101.20092484816314,127.45956425878434,45.36878834967824,18.22400633641957,170.40724802735795,164.4561483531765,173.5930792710063,178.18032172356553,251.22684478759766,218.16476583480835,212.28074550628662,212.28074550628662,133.66184779320432,148.06053208665898
open-2,45.894199078127514,95.06899968723158,100.09004239080431,124.23828974270444,42.077360511783226,17.062075116614437,169.2708432423249,168.1989708018276,172.62399671992597,179.45005465748625,263.51073265075684,207.64838933944702,221.7225980758667,221.7225980758667,133.2250865817082,124.13400327772769
